ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
25644;40;;12;PMT;1899-12-30 13:55:00.000;1899-12-30 17:30:00.000;2012-06-01 00:00:00.000;2012-06-01 00:00:00.000;1;1;0;0;0;0;0;1
25652;40;;516;ATL;1899-12-30 08:15:00.000;1899-12-30 17:15:00.000;2012-06-01 00:00:00.000;2012-06-01 00:00:00.000;0;0;0;0;0;0;0;1
25845;40;;552;BGT;1899-12-30 08:00:00.000;1899-12-30 18:00:00.000;2012-06-01 00:00:00.000;2012-06-01 00:00:00.000;0;0;0;0;0;0;0;1
25557;40;;428;RPO;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-06-04 00:00:00.000;2012-06-08 00:00:00.000;0;0;0;0;0;0;0;1
25920;40;;94;CSS;1899-12-30 13:55:00.000;1899-12-30 17:45:00.000;2012-06-04 00:00:00.000;2012-06-04 00:00:00.000;1;1;0;0;0;0;0;1
26033;40;;79;FBA;1899-12-30 13:55:00.000;1899-12-30 18:00:00.000;2012-06-06 00:00:00.000;2012-06-06 00:00:00.000;1;1;0;0;0;0;0;1
26091;40;;551;PHFA;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-08 00:00:00.000;2012-06-08 00:00:00.000;0;0;0;0;0;0;0;1
25653;40;;516;ATL;1899-12-30 08:15:00.000;1899-12-30 17:15:00.000;2012-06-08 00:00:00.000;2012-06-08 00:00:00.000;0;0;0;0;0;0;0;1
26024;40;;79;FBA;1899-12-30 13:55:00.000;1899-12-30 17:30:00.000;2012-06-08 00:00:00.000;2012-06-08 00:00:00.000;1;1;0;0;0;0;0;1
26232;40;;24;SFR;1899-12-30 08:30:00.000;1899-12-30 12:05:00.000;2012-06-13 00:00:00.000;2012-06-13 00:00:00.000;1;0;0;0;0;0;0;NULL
26014;40;;566;PPS;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-13 00:00:00.000;2012-06-13 00:00:00.000;0;0;0;0;0;0;0;1
