ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
26856;41;;659;JTT;1899-12-30 08:30:00.000;1899-12-30 17:00:00.000;2012-08-13 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
26481;41;;637;NASN;1899-12-30 13:55:00.000;1899-12-30 17:15:00.000;2012-07-13 00:00:00.000;2012-07-13 00:00:00.000;1;0;0;0;0;0;0;1
27251;41;;583;JVD;1899-12-30 14:00:00.000;1899-12-30 17:00:00.000;2012-08-30 00:00:00.000;2012-08-30 00:00:00.000;1;0;0;0;0;0;0;1
27455;41;;103;CCT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-10-05 00:00:00.000;2012-10-05 00:00:00.000;0;0;0;0;0;0;0;NULL
27467;41;;637;NASN;1899-12-30 13:55:00.000;1899-12-30 17:45:00.000;2012-10-10 00:00:00.000;2012-10-10 00:00:00.000;1;0;0;0;0;0;0;1
27794;41;;583;JVD;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-11-02 00:00:00.000;2012-11-02 00:00:00.000;0;0;0;0;0;0;0;1
27802;41;;582;APE;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-11-02 00:00:00.000;2012-11-02 00:00:00.000;0;0;0;0;0;0;0;1
27840;41;;673;SGA;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-11-02 00:00:00.000;2012-11-02 00:00:00.000;0;0;0;0;0;0;0;NULL
28004;41;;610;CDG;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-12-31 00:00:00.000;2013-01-04 00:00:00.000;0;0;0;0;0;0;0;1
28060;41;;668;BMR;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-12-27 00:00:00.000;2012-12-28 00:00:00.000;0;0;0;0;0;0;0;1
28186;41;;637;NASN;1899-12-30 08:15:00.000;1899-12-30 17:45:00.000;2012-12-31 00:00:00.000;2012-12-31 00:00:00.000;0;0;0;0;0;0;0;1
28191;41;;637;NASN;1899-12-30 08:15:00.000;1899-12-30 17:45:00.000;2012-12-24 00:00:00.000;2012-12-24 00:00:00.000;0;0;0;0;0;0;0;1
28205;41;;663;FSL;1899-12-30 08:00:00.000;1899-12-30 17:30:00.000;2012-11-23 00:00:00.000;2012-11-26 00:00:00.000;0;0;0;0;0;0;0;NULL
28240;41;;450;AGE;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-12-05 00:00:00.000;2012-12-05 00:00:00.000;0;0;0;0;0;0;0;1
26577;41;;623;NMR;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-08-20 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
26909;41;;649;RSA;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-08-06 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
26986;41;;657;MGT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-08-13 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
26080;41;;570;JEGI;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-06-15 00:00:00.000;2012-06-15 00:00:00.000;0;0;0;0;0;0;0;1
26340;41;;582;APE;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-08-06 00:00:00.000;2012-08-10 00:00:00.000;0;0;0;0;0;0;0;1
