Client Destinataire;Client Facturé;Client Porteur;Date Facture;Numéro Facture;Contrat;Badge;Identifiant 1;Identifiant 2;Identifiant 3;Ligne;Date Entrée;Heure Entrée;Société Entrée;Gare Entrée;Ferié/WE; Date Sortie;Heure Sortie; Société Sortie;Gare Sortie;Fact/Avoir;Taux TVA;Montant HT;Montant TVA;Montant TTC;Classe;Renouvellement;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;*;;;;1131 trajet(s) ouvrant droit à réduction;;;;;;;;;;A;19.60;-898.33;-176.06;-1074.39;;;
030192868;030192868;030192868;;1303440957;DIAGON'ALPES;TOTAL BADGE *;;;;;;;;;;;;;;;;-898.33;-176.06;-1074.39;;;

030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00001;TBT-VP-50-2-6ZZZNCOM;;;Trajet;15/03/2013;13:50;ASF;BPNL;;15/03/2013;13:50;ASF;RHONE INTERIEUR;F;0.00;2.00;0.00;2.00;1;Non;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00001;TBT-VP-50-2-6ZZZNCOM;;;Trajet;;;AREA;SAINT EXUPERY;;15/03/2013;14:07;AREA;SAINT EXUPERY;F;19.60;1.59;0.31;1.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00001;TBT-VP-50-2-6ZZZNCOM;;;Trajet;;;AREA;SAINT EXUPERY;;15/03/2013;15:08;AREA;SAINT EXUPERY;F;19.60;1.59;0.31;1.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00001;TBT-VP-50-2-6ZZZNCOM;;;Trajet;21/03/2013;09:15;ASF;VIENNE;;21/03/2013;09:25;ASF;CHANAS;F;19.60;2.59;0.51;3.10;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00001;TBT-VP-50-2-6ZZZNCOM;;;Trajet;21/03/2013;12:08;ASF;CHANAS;;21/03/2013;12:17;ASF;VIENNE;F;19.60;2.59;0.51;3.10;1;;
030192868;030192868;030192868;;1303440957;DIAGON'ALPES;TOTAL BADGE P00001;;;;;;;;;;;;;;;;10.36;1.64;12.00;;;

