numId;co2;libelle;marque;modele;;fk_proprietaire;fk_agence_utilisatrice;Modeleversioncommerciale;pf;Zone à créer;libéllé à mofifier;libéllé à mofifier;;libéllé à mofifier
Immatriculation;TVTS;Libelle;Marque;Modele;Agenceutilisatrice;Agenceproprietaire;Entiteutilisatrice;Modeleversioncommerciale;Puissance;Frais de gestion TTC ;MontantentretienTTC;LoyerTTC;CODE REFACTURATION;Montantassurance
BH743BA;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;DYNAMIQUE 1.5DCI 105;6;7;49,61;189,65;JUN;46,8575
CH222EE;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;1.6 E-HDI 92 ACTIVE;5;10,27;82,06;359,83;MED;46,8575
CK407PF;120;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;1.6 E-HDI 112 ACTIVE;6;16,84;110,49;606,68;CDV;46,8575
CN477RC;98;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;1.6 E-HDI 92 FELINE;5;8,96;51,46;301,22;MED;46,8575
CS651WW;98;PEUGEOT 208;PEUGEOT;208;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;1.6 E-HDI 92 ACTIVE;5;8,96;51,27;288,83;MED;46,8575
BK935ZM;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;9,64;48,2;233,78;JUN;46,8575
BK907ZM;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;24,66;232,28;JUN;46,8575
BH804JX;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;8,6;36,93;220,05;JUN;46,8575
BH972BA;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;7,09;41,84;172,85;JUN;46,8575
BL338AS;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;7,51;38,48;194,59;JUN;46,8575
BG737RK;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;7,13;26,47;168,03;JUN;46,8575
BJ716LY;115;RENAULT MEGANE 3;RENAULT;MEGANE 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 110 EXPRESSI;6;7,26;37,95;212,82;CDG;46,8575
BL137BD;123;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK CLIM;6;10,47;65,84;281,41;TECH;46,8575
BL441LF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;7,55;37,27;180,46;JUN;46,8575
BL360LF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;9,68;41,51;233,46;JUN;46,8575
BJ096GF;115;RENAULT MEGANE 3;RENAULT;MEGANE 3;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 110 AUTHENTI;6;11,9;50,06;340,74;CDG;46,8575
BK557NT;123;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK CLIM;6;11,9;38,07;269,47;TECH;46,8575
BL500MV;119;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK CLIM;6;7,52;29,58;182,28;TECH;46,8575
BL026HQ;123;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK CLIM;6;7,39;17,16;188,61;TECH;46,8575
BN153NG;123;CITROEN NEMO;CITROEN;NEMO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 BUSINESS;6;7,61;54,48;208,21;TECH;46,8575
BP100TM;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;5,25;35,45;192,62;MED;46,8575
BP174TN;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO TELECOM;CPRO IMPRESSION;CPRO TELECOM;1.6 HDI 92 ACTIVE;5;8,96;45,71;240,26;MED;46,8575
BQ557RS;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 112 ACTIVE;6;10,6;55,6;347,82;CDV;46,8575
BQ989CN;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;6,7;85,43;272,74;MED;46,8575
BV286RB;123;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK CLIM;6;15,48;98,74;404,71;TECH;46,8575
BR636QC;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;46,11;247,12;MED;46,8575
BR116XL;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,24;46,98;260,19;MED;46,8575
BT643DT;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;46,67;262,59;MED;46,8575
BT019DV;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;49,62;258,41;MED;46,8575
BT228CB;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;70,92;294,25;MED;46,8575
BW482YW;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 FELINE;5;8,96;36,9;254,16;MED;46,8575
BW741YW;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;44,96;224,2;MED;46,8575
BX261DA;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;7,57;38,73;244,18;MED;46,8575
BX320KL;104;RENAULT MEGANE 3 ESTATE;RENAULT;MEGANE 3 ESTATE;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 110 PRIVILEG;6;8,25;70,12;343,22;CDG1;46,8575
BZ408GF;110;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,48;103,73;318,49;MED;46,8575
BY272KT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;5,92;41,53;187,05;JUN;46,8575
CB764FQ;117;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,72;70,64;315,4;MED;46,8575
CB920NT;117;PEUGEOT 207 BUSINESS;PEUGEOT;207 BUSINESS;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.6 HDI 92 ACTIVE;5;8,96;47,61;273,31;MED;46,8575
BZ469LF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;11,9;37,15;272,05;JUN;46,8575
BZ939LF;120;RENAULT KANGOO;RENAULT;KANGOO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;7,2;56,65;241,39;TECH;46,8575
BZ765LF;137;RENAULT KANGOO;RENAULT;KANGOO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;6,89;47,22;236,75;TECH;46,8575
BZ491LF;137;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;8,84;59,69;296,84;TECH;46,8575
BZ851LF;119;RENAULT KANGOO;RENAULT;KANGOO;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;6;6,89;59,63;248,71;TECH;46,8575
BZ110PV;119;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;7,28;68,49;259,41;TECH;46,8575
BZ150PV;119;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;52,33;327,48;TECH;46,8575
BZ720RF;137;RENAULT KANGOO;RENAULT;KANGOO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;18,63;139,18;621,69;TECH;46,8575
BZ121PV;137;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 CONFORT;5;10,26;52,33;327,48;TECH;46,8575
