;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N° de facture;N° de Relevé Détaillé;Date de facturation;Code filiale;N° client bénéficiaire;RS client bénéficiaire;Division de Parc (code);Division de Parc (libellé);N° de support;Rang;Libellé estampé (immat./nom);Mention complémentaire;Code émetteur;Type de véhicule (libellé);Date de la transaction;Heure de la transaction;Code produit (libellé);Quantité;Montant TTC remise/maj incl.;Montant HTVA remise/maj incl.;Montant TVA remise/maj incl.;Contre-valeur TTC remise/maj incl.;Contre-valeur HTVA remise/maj incl.;Contre-valeur TVA remise/maj incl.;Taux de TVA;Code pays de facturation (libellé);Prix de facturation (unitaire TTC);Code devise du pays de la transaction;Montant forfaitaire de remise;Code et nom de la station;Kilométrage saisi;Référence;Info. additionnelle (message client);Code conducteur;Nom du conducteur
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0200;0;BC985AT;MCT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;19:41;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0001;1;AA756VH-VU;SBH-VU-03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;17:43;Péage TVA;1,00;6,10;5,10;1,00;6,10;5,10;1,00;19,60;FRANCE;6,10;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0103;2;AJ349XJ;CCN - VU- 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;17:59;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0129;2;BG737RK;BEFN - VU - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;08:49;Péage TVA;1,00;0,90;0,75;0,15;0,90;0,75;0,15;19,60;FRANCE;0,90;EUR;0,00;EA25003003 ISLE AB E;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0116;2;BC695HA;AEI - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;15:27;Péage TVA;1,00;0,70;0,59;0,11;0,70;0,59;0,11;19,60;FRANCE;0,70;EUR;0,00;EF25004204 VALENCE-N;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;10:16;Péage TVA;1,00;3,30;2,76;0,54;3,30;2,76;0,54;19,60;FRANCE;3,30;EUR;0,00;ER25009120 BELLEVILLE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0004;0;BQ 989 CN;JVA - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;11:41;Gazole Excellium;44,19;62,55;52,30;10,25;62,55;52,30;10,25;19,60;FRANCE;1,46;EUR;-1,99;TFQSW SARL GARAGE HENRI;70243,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0133;2;CG076TY;JMT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;09:38;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004203 TAIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0165;1;CP070HN;MCT - VU- 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;14:56;Péage TVA;1,00;1,10;0,92;0,18;1,10;0,92;0,18;19,60;FRANCE;1,10;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0115;2;CB920NT;GDR - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;10:01;Péage TVA;1,00;0,60;0,50;0,10;0,60;0,50;0,10;19,60;FRANCE;0,60;EUR;0,00;EF25004216 AUBERIVES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0202;0;BE545EP;PMT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;1,18;0,99;0,19;1,18;0,99;0,19;19,60;;1,18;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0010;0;BY-272-KT;CRA - VU - 04ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;09:55;Gazole Premier;45,03;61,04;51,04;10,00;61,04;51,04;10,00;19,60;FRANCE;1,40;EUR;-2,02;TFLQZ RELAIS CHAMBERY;31608,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0194;0;CR891CW;APE - VU - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;12:26;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0200;0;BC985AT;MCT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;15:30;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0199;0;BE542EP;SMR - VU - 06ZZZSTE;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;18:51;Péage TVA;1,00;4,90;4,10;0,80;4,90;4,10;0,80;19,60;FRANCE;4,90;EUR;0,00;ER25009122 VILLEFR.LI;;;;;
