Compte analytique,Pourcentage,Compte analytique,Pourcentage,Compte analytique,Pourcentage,Compte analytique,Pourcentage,Trigramme
02E01NCOM,100,,0,,0,,0,SBU
02E01NCOM,100,,0,,0,,0,PRE
02E02NCOM,100,,0,,0,,0,GDR
02E01STEC,100,,0,,0,,0,YCL
02E01NADM,100,,0,,0,,0,VCE
02E01NADM,100,,0,,0,,0,FMS
02E03NCOM,100,,0,,0,,0,PMT
02E02NCOM,100,,0,,0,,0,FRI
02E01NCOM,100,,0,,0,,0,FRDN
02E01STEC,100,,0,,0,,0,AEI
02E01STEC,100,,0,,0,,0,LVE
02E03NCOM,100,,0,,0,,0,NGD
02E01NAVV,25,03E04NAVV,25,04E06NAVV,25,06E09NAVV,25,SFR
02E01STEC,100,,0,,0,,0,MZI
02E02NCOM,100,,0,,0,,0,SRZ
02E01STEC,100,,0,,0,,0,FPT
02E01NCOM,100,,0,,0,,0,CCY
02E02STEC,100,,0,,0,,0,CLLE
02E01STEC,100,,0,,0,,0,SRL
02E01STEC,100,,0,,0,,0,JBA
02E01STEC,100,,0,,0,,0,FSZ
02E03NCOM,100,,0,,0,,0,FRPT
02E01STEC,100,,0,,0,,0,HFY
02E03STEC,100,,0,,0,,0,MCL
02E01STEC,100,,0,,0,,0,CHT
06E09STEC,100,,0,,0,,0,JPS
02E01STEC,100,,0,,0,,0,JMT
02E01NCOM,100,,0,,0,,0,GLX
02E03NCOM,100,,0,,0,,0,AVT
02E01NADM,100,,0,,0,,0,SDP
02E01STEC,100,,0,,0,,0,JPR
02E01NCOM,100,,0,,0,,0,KBN
02E01AAUD,25,03E04AAUD,25,04E06AAUD,25,06E09AAUD,25,ACN
02E02NCOM,100,,0,,0,,0,APE
02E02NCOM,100,,0,,0,,0,JVD
03E05NCOM,100,,0,,0,,0,BEFN
03E04STEC,100,,0,,0,,0,FBA
03E04NCOM,100,,0,,0,,0,PCO
03E05STEC,100,,0,,0,,0,DCD
03E04STEC,100,,0,,0,,0,CFI
03E04STEC,100,,0,,0,,0,RLE
03E04STEC,100,,0,,0,,0,MRT
03E04NCOM,100,,0,,0,,0,
03E05STEC,100,,0,,0,,0,SBH
03E05NCOM,100,,0,,0,,0,FFY
03E04NADM,100,,0,,0,,0,FMN
03E04NCOM,100,,0,,0,,0,DRO
02E01NAVV,25,03E04NAVV,25,04E06NAVV,25,06E09NAVV,25,FTT
03E04NCOM,100,,0,,0,,0,MGI
03E04NADM,100,,0,,0,,0,CGS
03E04STEC,100,,0,,0,,0,FBT
03E04STEC,100,,0,,0,,0,JMB
03E04STEC,100,,0,,0,,0,BFN
03E04STEC,100,,0,,0,,0,RPO
03E04NADM,100,,0,,0,,0,PABN
03E04NADM,100,,0,,0,,0,CAJN
03E04STEC,100,,0,,0,,0,RME
03E05NCOM,100,,0,,0,,0,MMT
03E04STEC,100,,0,,0,,0,RPC
03E04NCOM,100,,0,,0,,0,JVIA
06E09NCOM,100,,0,,0,,0,SFS
03E04NCOM,100,,0,,0,,0,JEGI
03E04NCOM,100,,0,,0,,0,BGN
04E07NCOM,100,,0,,0,,0,PBD
04E06STEC,100,,0,,0,,0,JFD
04E06NCOM,100,,0,,0,,0,RAGY
04E08STEC,100,,0,,0,,0,ECA
04E07STEC,100,,0,,0,,0,PBT
04E07STEC,100,,0,,0,,0,SMN
04E07STEC,100,,0,,0,,0,FBL
04E08NCOM,100,,0,,0,,0,MBD
06E09NCOM,100,,0,,0,,0,JDS
04E08STEC,100,,0,,0,,0,FFO
04E08NCOM,100,,0,,0,,0,FHN
04E06NCOM,100,,0,,0,,0,TPT
04E08NADM,100,,0,,0,,0,CSS
04E08STEC,100,,0,,0,,0,BVI
04E06STEC,100,,0,,0,,0,SBT
04E07NCOM,100,,0,,0,,0,PBA
04E06NADM,100,,0,,0,,0,ABT
04E07STEC,100,,0,,0,,0,CBT
04E06STEC,100,,0,,0,,0,CCT
04E08NCOM,100,,0,,0,,0,TGT
04E08NCOM,100,,0,,0,,0,YJY
04E07STEC,100,,0,,0,,0,MMR
04E06NCOM,100,,0,,0,,0,BPS
04E06STEC,100,,0,,0,,0,ESA
04E07NCOM,100,,0,,0,,0,ITT
04E06STEC,100,,0,,0,,0,EVL
04E06NCOM,100,,0,,0,,0,NCK
03E04NCOM,50,04E08NCOM,50,,0,,0,SVT
04E08STEC,100,,0,,0,,0,FTN
04E07NCOM,100,,0,,0,,0,LAJ
04E07NCOM,100,,0,,0,,0,PPD
04E06NADM,100,,0,,0,,0,VGN
04E06NCOM,100,,0,,0,,0,AGE
06E09NCOM,100,,0,,0,,0,GCT
02E01NAVV,25,03E04NAVV,25,04E06NAVV,25,06E09NAVV,25,CBS
06E09STEC,100,,0,,0,,0,CTT
02E01AAUD,25,03E04AAUD,25,04E06AAUD,25,06E09AAUD,25,NDC
02E01AAUD,"7,5",03E04AAUD,"7,5",04E06AAUD,"7,5",06E09AAUD,"7,5",JBD
06E09STEC,100,,0,,0,,0,BMS
06E09NCOM,100,,0,,0,,0,BPT
06E09NCOM,100,,0,,0,,0,MIBN
06E09STEC,100,,0,,0,,0,LJO
06E09NCOM,100,,0,,0,,0,NLR
06E09STEC,100,,0,,0,,0,LMY
06E09NADM,100,,0,,0,,0,CRL
06E09STEC,100,,0,,0,,0,DRL
06E09STEC,100,,0,,0,,0,DVE
06E09STEC,100,,0,,0,,0,YVL
06E09NCOM,100,,0,,0,,0,PAFE
06E09NADM,100,,0,,0,,0,FYGN
06E09NADM,100,,0,,0,,0,NBY
06E09NCOM,100,,0,,0,,0,
06E09STEC,100,,0,,0,,0,SMR
ZZZZZTDIS,100,,0,,0,,0,EDT
04E06NADM,100,,0,,0,,0,MDE
02E01STEC,100,,0,,0,,0,CCN
